Italian,English
regno,kingdom
muoversi,move
analisi,analyses
dannato,damned
sissignore,yes sir
assicuro,I assure you
amante,lover
sorriso,smile
proiettile,bullet
affascinante,fascinating
frattempo,in the meantime
banda,band
ricerche,research
ladro,thief
parcheggio,parking
innamorata,in love
tagliato,cut
agenzia,agency
puntate,bets
permettere,allow
mucchio,pile
soccorso,rescue
marina,navy
trovarla,find it
costretto,forced
limite,limit
appartiene,belongs
petto,chest
vergogna,shame
malapena,barely
togliere,remove
facessi,I would do
auguri,congratulations
onesto,honest
ginocchio,knee
muovetevi,move
andiamocene,let's go
diamine,damn
fuggire,run away
sparire,disappear
bestia,beast
superare,overcome
sparito,disappeared
muovere,move
impazzire,go crazy
causato,caused
legame,link
rompere,break
tratti,traits
palco,stage
beccato,caught
esca,bait
coscienza,consciousness
prete,priest
cieco,blind
messico,Mexico
pene,penis
tempesta,storm
istante,instant
ammettere,admit
eccomi,Here I am
reazione,reaction
onestamente,honestly
rischiare,risk
furono,they were
fiero,proud
lacrime,tears
pazzesco,crazy
reparto,department
benzina,gas
struttura,structure
conviene,it's convenient
direbbe,he would say
nascita,birth
servire,serve
piacevole,pleasant
desidera,want
dolcezza,sweetness
esserne,be
previsto,expected
tornero,I'll be back
settore,sector
ufficialmente,officially
uguali,the same
offesa,offense
incarico,assignment
ricominciare,start again
orgoglioso,proud
frase,phrase
mondiale,world
aiutatemi,Help me
esplodare,explode
ammazzo,I'll kill
elicottero,helicopter
miliardi,billion
smettetela,stop it
rifiutato,refused
sottofondo,background
percorso,path
sciocchezze,nonsense
tecnicamente,technically
raccogliere,gather
incastrato,stuck
cretino,cretin
fottiti,fuck you
contea,county
tramite,through
staremo,we will stay
miseria,misery
accadere,happen
maesta,majesty
chissa,maybe
cui,which
appassiona,passionate
equipaggio,crew
diglielo,tell him
minima,minimal
panino,sandwich
pancia,belly
vergine,virgin
veicolo,vehicle
meraviglia,wonder
sognato,dreamed
nascosta,hidden
attacchi,attacks
piange,cries
possesso,possession
nascondendo,hiding
volentieri,I'd love that
eccezionale,exceptional
egoista,selfish
barbara,barbara
alzare,raise
cazzo,fuck
cavaliere,knight
addirittura,really
sinistro,left
bagagli,luggage
dispositivo,device
riconosciuto,recognized
fatica,fatigue
immagina,imagine
flotta,fleet
infarto,heart attack
subspedia,subspedia
vicolo,alley
cortesia,courtesy
comitato,committee
diversamente,otherwise
simbolo,symbol
sostegno,support
diane,diane
profondamente,deeply
aumento,increase
brindisi,toasts
tanto,a lot
favore,favor
giusto,Right
ringraziarti,thank you
ritrovato,found
facendo,doing
rappresenta,represents
ero,I was
aveva,I had
spento,worn out
addestramento,training
diamanti,diamonds
sbirri,cops
tipo,type
prego,Please
tocchi,touches
appena,as soon as
soldi,money
dice,he says
sapere,know
tre,Three
oggi,Today
lunedi,Monday
martedi,Tuesday
sabato,Saturday
domenica,Sunday
figlio,son
accordo,agreement
gente,people
sicuro,Safe
dentro,in
trovato,found
lasciato,left
traduzione,translation
sangue,blood
riesco,I am able to
esatto,Exactly
mezzo,half
unico,unique
gran,great
ordine,order
soltanto,only
segreto,secret
lista,list
venga,come
addio,Goodbye
proposito,purpose
programma,plan
fallo,foul
dimenticato,forgotten
vattene,go away
arma,weapon
coraggio,courage
guai,trouble
adoro,I love it
aereo,airplane
esserci,be there
base,basic
spalle,shoulders
pranzo,lunch
bastardo,bastard
riguarda,regard
vinto,won
fronte,forehead
scappare,escape
linea,line
calma,calm
pezzi,pieces
fossero,they were
esiste,exists
promesso,promised
ballo,dance
tenente,lieutenant
processo,process
incinta,pregnant
rende,makes
lato,side
giustizia,justice
evitare,avoid
sceriffo,sheriff
massimo,maximum
turno,shift
nemico,enemy
idee,ideas
ferito,wound
anzi,On the contrary
dirle,tell her
stronza,bitch
bacio,kiss
fanculo,Fuck yourself
stile,style
scopo,scope
cadavere,corpse
creare,create
dettagli,details
rovinato,ruined
dando,giving
zitta,shut up
sistemare,tidy up
tracce,tracks
indagine,investigation
perdita,loss
eccoci,here we are
perdita,loss
teoria,theory
troia,slut
volessi,I wanted
minaccia,threat
caduto,fallen
copertura,coverage
spada,spade
merito,merit
dirgli,tell him
pete,pete
maledetto,cursed
taglio,cut
dimmelo,tell me
allarme,alarm
prenderlo,take it
distruggere,destroy
regola,rule
gestire,manage
crescere,grow
starai,you will stay
fastidio,nuisance
dappertutto,everywhere
sopravvivere,survive
battuta,joke
amicizia,friendship
gola,throat
sessuale,sexual
tentativo,attempt
orecchie,ears
dirglielo,tell him
ucciderlo,kill him
tornate,come back
trucco,trick
dovessi,I had to
raccontato,told
fatemi,let me
movimento,movement
